case_id,crime_type_code,crime_type_description,severity_level,incident_datetime,latitude,longitude,region,district,priority,status,complainant_name,complainant_age,complainant_gender
20251030-0001,VT,Vehicle Theft,Moderate,2023-07-27 18:24:15,13.056502661290482,80.23568067311722,South,Coastal Zone,Medium,Under Investigation,Deepa Nair,46,Male
20251030-0002,FR,Fraud,Moderate,2024-03-28 06:37:48,13.088951367915259,80.28798734354629,East,Market District,Medium,Under Investigation,Meena Patel,53,Male
20251030-0003,VT,Vehicle Theft,Moderate,2024-02-14 15:01:43,13.079155242672595,80.36815497781906,West,Commercial West,Medium,Assigned,Raj Singh,42,Male
20251030-0004,BR,Burglary,Serious,2023-10-04 09:47:35,13.059308361757077,80.28933154937454,West,University Area,High,Closed,Kumar Nair,36,Other
20251030-0005,CY,Cybercrime,Serious,2024-09-06 19:36:40,13.176537616379687,80.3257544839198,South,Residential South,High,Assigned,Priya Reddy,23,Male
20251030-0006,CY,Cybercrime,Serious,2024-06-27 17:28:04,13.067389351460871,80.29527471925539,West,Western Plains,High,Cold Case,Raj Sharma,43,Female
20251030-0007,AS,Assault,Serious,2023-12-30 03:10:35,13.0993617975372,80.29016674725763,Central,Downtown,High,Assigned,Meena Sharma,46,Female
20251030-0008,TH,Theft,Moderate,2023-12-23 06:27:34,13.10334504124322,80.2934902209955,Central,City Center,Medium,Closed,Deepa Singh,71,Female
20251030-0009,VN,Vandalism,Minor,2023-06-26 18:30:57,12.991070785460833,80.28347988152272,North,Industrial Area,Low,Under Investigation,Priya Iyer,33,Other
20251030-0010,VT,Vehicle Theft,Moderate,2023-03-12 06:51:33,13.089954947600129,80.19476868859061,North,Industrial Area,Medium,Under Investigation,Meena Iyer,27,Other
20251030-0011,BR,Burglary,Serious,2023-12-03 18:39:47,13.088013151007043,80.30520274541979,North,Industrial Area,High,Under Investigation,Meena Nair,50,Other
20251030-0012,FR,Fraud,Moderate,2024-05-05 13:04:42,13.074391166900865,80.28297539932731,East,Eastern Hills,Medium,Reported,Deepa Sharma,67,Male
20251030-0013,VT,Vehicle Theft,Moderate,2023-03-17 21:33:08,13.056377152247512,80.26210044718448,Central,City Center,Medium,Reported,Deepa Patel,62,Female
20251030-0014,AS,Assault,Serious,2024-03-15 18:55:29,13.07879632508001,80.35292982388393,Central,City Center,High,Assigned,Deepa Patel,50,Female
20251030-0015,CY,Cybercrime,Serious,2023-06-30 18:24:06,13.108970593043894,80.28003187261766,East,Suburban East,High,Closed,Lakshmi Das,44,Other
20251030-0016,RB,Robbery,Critical,2023-03-21 09:19:15,13.069821120550921,80.27380491942047,Central,Downtown,Critical,Under Investigation,Kumar Reddy,55,Female
20251030-0017,DR,Drug Related,Critical,2024-01-29 17:46:40,13.097290161137856,80.28785730988885,North,Parkside,Critical,Under Investigation,Deepa Nair,54,Male
20251030-0018,AS,Assault,Serious,2024-04-01 20:14:49,13.045275764464693,80.23894970074471,North,Northern Heights,High,Under Investigation,Deepa Patel,30,Female
20251030-0019,AS,Assault,Serious,2024-04-01 21:06:55,13.12065227951467,80.26374839040028,South,Coastal Zone,High,Assigned,Lakshmi Sharma,20,Female
20251030-0020,VT,Vehicle Theft,Moderate,2023-10-18 02:23:27,13.084760495169927,80.29096585438798,West,Western Plains,Medium,Pending,Kumar Reddy,57,Female
20251030-0021,VT,Vehicle Theft,Moderate,2023-04-07 21:01:10,13.095500180506395,80.25800577501838,West,Western Plains,Medium,Pending,Priya Reddy,28,Female
20251030-0022,VT,Vehicle Theft,Moderate,2023-10-21 21:44:13,13.076742949520403,80.22640656631629,North,Industrial Area,Medium,Under Investigation,Lakshmi Reddy,61,Female
20251030-0023,TH,Theft,Moderate,2024-11-19 16:48:36,13.080440094961855,80.21433664011053,West,University Area,Medium,Pending,Raj Kumar,37,Other
20251030-0024,FR,Fraud,Moderate,2024-07-07 21:34:05,13.082537812934492,80.29053160868875,West,Commercial West,Medium,Assigned,Lakshmi Reddy,41,Male
20251030-0025,FR,Fraud,Moderate,2023-07-24 19:26:13,13.10769625357825,80.28531646815273,East,Eastern Hills,Medium,Under Investigation,Arun Reddy,57,Male
20251030-0026,TH,Theft,Moderate,2024-01-03 15:46:09,13.059395418645911,80.22927715491494,East,Eastern Hills,Medium,Assigned,Vijay Singh,59,Male
20251030-0027,BR,Burglary,Serious,2023-08-23 18:47:57,13.08033190841725,80.26068302150806,North,Parkside,High,Under Investigation,Vijay Kumar,69,Male
20251030-0028,AS,Assault,Serious,2024-07-30 21:04:49,13.053475303701306,80.23548957600967,West,Commercial West,High,Pending,Lakshmi Reddy,35,Other
20251030-0029,VT,Vehicle Theft,Moderate,2024-06-21 19:29:30,13.17630182415539,80.17945559103288,East,Market District,Medium,Assigned,Arun Kumar,59,Male
20251030-0030,RB,Robbery,Critical,2024-11-16 05:29:32,13.03871939013552,80.25975772014577,Central,Business District,Critical,Reported,Arun Kumar,65,Male
20251030-0031,HM,Homicide,Critical,2024-01-17 04:17:17,13.103047158515754,80.29725314268016,North,Northern Heights,Critical,Pending,Vijay Singh,47,Other
