case_id,name,age,status
20251030-0003,Suspect 552,21,Suspect
20251030-0006,Suspect 834,38,Arrested
20251030-0006,Suspect 313,22,Wanted
20251030-0008,Suspect 472,23,Wanted
20251030-0008,Suspect 920,43,Arrested
20251030-0008,Suspect 94,61,Person of Interest
20251030-0009,Suspect 504,63,Wanted
20251030-0009,Suspect 237,18,Suspect
20251030-0010,Suspect 946,58,Wanted
20251030-0013,Suspect 676,60,Wanted
20251030-0013,Suspect 449,22,Person of Interest
20251030-0015,Suspect 770,35,Person of Interest
20251030-0015,Suspect 640,62,Arrested
20251030-0016,Suspect 717,49,Person of Interest
20251030-0017,Suspect 969,50,Arrested
20251030-0019,Suspect 725,27,Suspect
20251030-0022,Suspect 102,47,Arrested
20251030-0022,Suspect 288,39,Person of Interest
20251030-0022,Suspect 991,33,Person of Interest
20251030-0023,Suspect 152,39,Suspect
20251030-0024,Suspect 317,36,Wanted
20251030-0024,Suspect 640,47,Person of Interest
20251030-0024,Suspect 188,34,Suspect
20251030-0030,Suspect 412,54,Wanted
20251030-0030,Suspect 992,65,Wanted
20251030-0030,Suspect 694,56,Suspect
20251030-0032,Suspect 881,35,Wanted
20251030-0032,Suspect 620,50,Suspect
20251030-0039,Suspect 855,60,Wanted
20251030-0039,Suspect 136,39,Arrested
20251030-0039,Suspect 665,50,Wanted
20251030-0041,Suspect 947,63,Arrested
20251030-0044,Suspect 914,46,Person of Interest
20251030-0044,Suspect 826,27,Wanted
20251030-0048,Suspect 276,20,Person of Interest
20251030-0049,Suspect 868,36,Person of Interest
20251030-0049,Suspect 728,61,Person of Interest
20251030-0052,Suspect 769,19,Person of Interest
20251030-0054,Suspect 988,51,Person of Interest
20251030-0054,Suspect 135,59,Person of Interest
20251030-0055,Suspect 192,19,Suspect
20251030-0055,Suspect 879,55,Wanted
20251030-0055,Suspect 856,59,Suspect
20251030-0058,Suspect 579,21,Wanted
20251030-0059,Suspect 495,29,Suspect
20251030-0059,Suspect 758,65,Suspect
20251030-0062,Suspect 545,52,Suspect
20251030-0062,Suspect 345,44,Wanted
